"country_code","shop_id","item_id","date","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","liked_count","rating","rating_count","unit_sold"
id,"1112776376","42807278779",2026-07-21,38900,96580,38900,60,10000,1000,22654,4.90,69508,0
vn,"464391416","4292568126",2026-07-21,35000,35000,35000,,266,,97,4.83,36,0
vn,"464391416","9970000081",2026-07-21,15000,15000,15000,,185,,31,4.96,46,0
vn,"464391416","16365981952",2026-07-21,36000,36000,36000,,59,,28,5.00,16,0
vn,"464391416","11213091333",2026-07-21,30000,30000,30000,,43,,19,5.00,15,0
vn,"464391416","11395342887",2026-07-21,56000,56000,56000,,6,,5,4.67,3,0
vn,"464391416","9776658104",2026-07-21,30000,30000,30000,,200,,14,4.83,29,0
vn,"464391416","21202484546",2026-07-21,144000,144000,144000,,27,,9,5.00,12,0
vn,"464391416","14517785671",2026-07-21,45000,45000,45000,,48,,6,5.00,7,0
vn,"464391416","14285234900",2026-07-21,50000,50000,50000,,6,,3,3.50,2,0
vn,"464391416","17566024845",2026-07-21,57000,57000,57000,,35,,21,4.80,5,0
vn,"464391416","19002502525",2026-07-21,33000,33000,33000,,37,,22,4.86,7,0
vn,"464391416","20637494201",2026-07-21,209000,209000,209000,,32,,15,3.00,1,0
vn,"438905996","11966626126",2026-07-21,52000,55000,52000,5,4000,70,464,4.96,1224,0
vn,"438905996","18970964057",2026-07-21,52000,55000,52000,5,2000,223,115,4.91,474,0
vn,"438905996","26488409967",2026-07-21,99000,150000,99000,34,3000,177,274,4.96,826,0
vn,"438905996","20486486922",2026-07-21,25000,35000,25000,29,519,412,22,4.87,87,0
id,"1368540320","43317569775",2026-07-21,79700,731000,79700,89,2000,411,750,4.87,1227,0
id,"1368540320","29790939109",2026-07-21,38500,300000,38500,87,10000,197,3030,4.79,5757,0
id,"1368540320","29591058852",2026-07-21,35000,432000,35000,92,1000,361,218,4.89,618,0
id,"1368540320","55312530737",2026-07-21,28000,290000,28000,90,69,66,35,4.85,27,0
id,"1368540320","42804026578",2026-07-21,73000,366000,73000,80,7000,413,1966,4.83,3588,0
id,"1368540320","54412798940",2026-07-21,89000,620000,89000,86,107,107,35,4.96,52,0
id,"1368540320","52862782268",2026-07-21,59000,470000,69000,87,22,21,12,5.00,9,0
id,"1368540320","57161987975",2026-07-21,49000,395000,49000,88,295,284,52,4.84,138,0
id,"1368540320","28036053313",2026-07-21,79800,499999,79800,84,10000,1000,25651,4.86,19958,0
id,"1368540320","42303994190",2026-07-21,35000,366000,35000,90,3000,1000,620,4.88,1544,0
id,"1368540320","54952247520",2026-07-21,67000,922997,67000,93,3000,1000,1475,4.87,1435,0
id,"1368540320","42418380245",2026-07-21,35000,280000,35000,88,5000,1000,1203,4.86,2509,0
id,"1368540320","48112813739",2026-07-21,85000,620000,91000,86,11,10,10,4.75,8,0
id,"1368540320","55556714442",2026-07-21,49000,319999,49000,85,580,442,181,4.84,212,0
id,"1368540320","52711988070",2026-07-21,49000,395000,49000,88,581,574,148,4.91,264,0
id,"1368540320","43654004856",2026-07-21,73700,338888,73700,78,10000,1000,13471,4.80,13430,0
id,"1368540320","41754019654",2026-07-21,28000,366000,28000,92,6000,1000,3796,4.86,2398,0
vn,"438905996","13439697233",2026-07-21,12000,55000,12000,78,10000,787,1951,4.94,2560,0
vn,"438905996","18684826924",2026-07-21,81000,90000,81000,10,395,290,32,4.92,79,0
vn,"438905996","23044095031",2026-07-21,98000,150000,98000,35,3000,2000,165,4.94,199,0
vn,"438905996","23738702520",2026-07-21,156000,199000,156000,22,1000,325,192,4.95,336,0
id,"1368540320","56611001254",2026-07-21,189000,1682000,189000,89,7,6,26,5.00,4,0
vn,"438905996","11366802291",2026-07-21,37740,50000,37740,25,4000,495,226,4.94,744,0
id,"1368540320","43518766575",2026-07-21,79800,499999,79800,84,1000,123,734,4.86,687,0
vn,"438905996","21658340202",2026-07-21,49000,60000,49000,18,9000,3000,735,4.93,1358,0
vn,"438905996","17385752247",2026-07-21,52000,60000,52000,13,30000,885,7207,4.93,6837,0
vn,"438905996","20852613995",2026-07-21,1000,40000,1000,98,10000,2000,543,4.94,1543,0
vn,"438905996","46712105892",2026-07-21,80000,80000,80000,,930,916,109,4.86,122,0
id,"1368540320","53811593142",2026-07-21,35000,320000,35000,89,2000,1000,351,4.87,638,0
id,"1368540320","26120309394",2026-07-21,87000,399000,87000,78,10000,1000,27141,4.80,50517,0
id,"1368540320","28934445366",2026-07-21,38500,319999,38500,88,10000,1000,38736,4.77,38807,0
vn,"438905996","51460942294",2026-07-21,25000,30000,25000,17,201,114,22,4.92,38,0
id,"1112776376","23763960215",2026-07-21,33900,76000,33900,55,10000,1000,14713,4.89,42236,0
id,"1112776376","29978594764",2026-07-21,34001,77600,34001,56,10000,1000,24559,4.90,76905,0
id,"1112776376","25190984781",2026-07-21,30900,68000,30900,55,10000,1000,59613,4.84,122886,0
vn,"438905996","49559932159",2026-07-21,250000,280000,250000,11,118,105,17,4.96,26,0
vn,"438905996","46805415448",2026-07-21,180000,250000,180000,28,49,17,23,4.73,11,0
vn,"438905996","22654206837",2026-07-21,42000,60000,42000,30,47,22,9,4.60,5,0
vn,"438905996","11166632589",2026-07-21,30000,50000,30000,40,228,25,34,4.88,48,0
vn,"438905996","50861006954",2026-07-21,190000,250000,190000,24,1,,1,5.00,1,0
vn,"438905996","49106797794",2026-07-21,200000,270000,200000,26,134,57,20,5.00,28,0
vn,"438905996","26579122800",2026-07-21,205000,250000,205000,18,114,38,16,5.00,19,0
vn,"438905996","50410083782",2026-07-21,30000,50000,30000,40,622,617,4,4.13,8,0
vn,"438905996","26589754927",2026-07-21,169000,200000,169000,16,56,24,8,4.77,13,0
vn,"438905996","28045099629",2026-07-21,102000,102000,102000,,12,12,0,0.00,0,0
vn,"438905996","10466590734",2026-07-21,250000,250000,250000,,147,141,5,4.83,24,0
vn,"438905996","28236664738",2026-07-21,136000,180000,136000,24,516,19,42,4.87,123,0
vn,"438905996","46961314681",2026-07-21,65000,65000,65000,,24,17,6,4.40,5,0
vn,"438905996","22670919692",2026-07-21,305000,500000,305000,39,436,94,52,4.95,100,0
vn,"438905996","44232594584",2026-07-21,62000,90000,62000,31,,,0,0.00,0,0
vn,"438905996","22330873798",2026-07-21,30000,40000,30000,25,185,16,21,4.84,25,0
vn,"438905996","28438413736",2026-07-21,90000,160000,90000,44,10,8,3,5.00,1,0
vn,"438905996","22462828294",2026-07-21,140000,160000,140000,13,709,64,117,4.83,141,0
vn,"438905996","47560964182",2026-07-21,99000,120000,99000,18,80,71,13,4.93,15,0
vn,"438905996","11090028367",2026-07-21,286000,330000,286000,13,5000,240,497,4.95,1142,0
vn,"438905996","52710351721",2026-07-21,270000,300000,270000,10,12,7,5,5.00,3,0
vn,"438905996","47959526710",2026-07-21,60000,99000,60000,39,129,68,15,4.81,26,0
vn,"438905996","42500556873",2026-07-21,135000,160000,135000,16,283,121,28,4.80,40,0
vn,"438905996","29088108842",2026-07-21,99000,110000,99000,10,28,14,3,4.75,4,0
vn,"438905996","23826107700",2026-07-21,52000,69000,52000,25,81,12,13,4.95,21,0
vn,"438905996","55962469680",2026-07-21,45000,45000,45000,,12,12,3,5.00,2,0
vn,"438905996","19479438852",2026-07-21,196000,200000,196000,2,1000,87,166,4.90,304,0
vn,"438905996","54709901533",2026-07-21,75000,100000,75000,25,830,808,6,4.64,11,0
vn,"438905996","22238396041",2026-07-21,25000,25000,25000,,695,22,55,4.94,188,0
vn,"438905996","26010792468",2026-07-21,46000,60000,46000,23,1000,54,148,4.93,296,0
vn,"438905996","43357600879",2026-07-21,46000,60000,46000,23,329,19,61,4.86,70,0
vn,"438905996","45410969628",2026-07-21,85000,120000,85000,29,110,85,13,4.92,25,0
vn,"438905996","56811471193",2026-07-21,65000,65000,65000,,58,44,6,4.88,16,0
vn,"438905996","21377681750",2026-07-21,100000,120000,100000,17,157,4,25,4.93,40,0
vn,"438905996","18367916719",2026-07-21,445000,500000,445000,11,601,15,76,4.98,128,0
vn,"438905996","46314088232",2026-07-21,500000,500000,500000,,60,50,1,4.92,12,0
vn,"438905996","56061511146",2026-07-21,500000,500000,500000,,4000,4000,15,4.80,729,0
vn,"438905996","17396314544",2026-07-21,100000,100000,100000,,10000,435,24,4.94,2569,0
vn,"438905996","56310231315",2026-07-21,800000,800000,800000,,200,198,3,5.00,52,0
vn,"438905996","16196107987",2026-07-21,828000,828000,828000,,75,1,20,4.89,19,0
vn,"438905996","19448050564",2026-07-21,650000,750000,650000,13,64,,19,5.00,13,0
vn,"438905996","57210285849",2026-07-21,800000,800000,800000,,1,1,2,5.00,1,0
vn,"438905996","28526139038",2026-07-21,500000,500000,500000,,10000,43,30,4.94,2939,0
vn,"438905996","23651446221",2026-07-21,500000,500000,500000,,10000,261,36,4.94,3138,0
vn,"438905996","53551695912",2026-07-21,115000,120000,115000,4,2,,3,0.00,0,0
vn,"438905996","19760852081",2026-07-21,510000,550000,510000,7,71,1,11,5.00,14,0
vn,"438905996","45460311001",2026-07-21,850000,850000,850000,,3,1,7,0.00,0,0
vn,"438905996","25145752808",2026-07-21,135000,149000,135000,9,104,31,9,4.95,40,0
vn,"438905996","46863513833",2026-07-21,500000,500000,500000,,1,1,0,0.00,0,0
vn,"438905996","56062041503",2026-07-21,290000,320000,290000,9,2,1,2,0.00,0,0
vn,"438905996","53014327638",2026-07-21,61000,85000,61000,28,,,0,0.00,0,0
vn,"438905996","46800472365",2026-07-21,170000,170000,170000,,450,1,21,4.58,50,0
vn,"438905996","56860203157",2026-07-21,126000,126000,126000,,28,25,0,5.00,6,0
vn,"438905996","49460368720",2026-07-21,180000,190000,180000,5,11,8,3,5.00,2,0
